A24a	A24a'	A24b	A24b'	A25	A29a	A29b	A29c	A30	A32	APir	Au1	AuD	AuV	cc/ec	CEnt	cg	Cl	CxA	DCl	DEn	df	dhc	DIEnt	DLEnt	DLO	DS	DTT	Ect	fmi	Fr3	FrA	IEn	Ins	LO	lo	LPtA	M1	M2	MEnt	MO	MPtA	PaS	Pir	PLCo	PMCo	Post	PRh	PrS	PtPR	RAPir	S1	S1BF	S1DZ	S1FL	S1HL	S1J	S1Sh	S1Tr	S1ULp	S2	STr	TeA	V1	V1B	V1M	V2L	V2ML	V2MM	VCl	VEn	VIEnt	VO	VTT
24.16393	27.0953	27.693007	24.075733	16.213778	15.638686	1.4878438	22.73612	13.048553	9.081066	5.163033	22.097574	23.00767	23.285246	22.682528	0.0	23.311047	16.24803	2.2347815	19.06834	14.239336	20.346828	6.720029	5.1438503	7.558994	0.0	21.079844	5.4071064	13.112169	19.63542	16.102097	0.0	10.94038	13.070458	3.8834538	5.958238	26.61735	21.765848	18.483393	0.0	0.6573838	25.999956	0.0	7.5824265	1.9389211	1.86769	1.4141599	10.475524	0.0	27.34344	1.8268008	22.101988	27.735113	25.05219	26.57697	25.32996	24.011347	22.796375	25.509907	26.118109	22.373667	0.0	11.659855	5.6419554	7.9523606	9.206812	8.602354	13.901908	6.723759	16.493402	9.21265	1.4995738	0.83049864	1.8042058
23.985947	26.733818	27.793879	24.098772	16.417967	15.74058	1.4917104	22.772633	13.013381	9.100119	5.2944555	22.198845	23.127943	23.309114	22.681612	0.0	23.467913	16.148582	2.133785	19.069107	14.071834	20.074608	6.728586	5.120803	7.566602	0.0	20.990076	5.412675	13.064724	19.506516	16.290295	0.0	11.070157	13.154516	3.9360714	6.0658207	26.553467	21.729742	18.48322	0.0	0.664349	25.862822	0.0	7.5900936	2.0240326	1.7795589	1.4084005	10.380481	0.0	27.39808	1.9389505	22.180946	27.777887	25.4104	26.856861	25.399	24.173115	23.370588	25.763529	26.075155	22.375301	0.0	11.738213	5.616968	8.062551	9.135317	8.633377	13.933627	6.6117077	16.479364	9.094069	1.5605992	0.8207073	1.8965583
23.987139	26.878925	27.664375	23.972694	16.005877	15.582211	1.4702084	22.575209	12.86339	9.126881	5.3699427	22.199177	23.028751	23.309559	22.687712	0.0	23.36097	16.012814	2.2081482	18.522467	13.999468	19.985884	6.691197	5.1253934	7.5068073	0.0	21.020605	5.4645004	13.064783	19.53345	16.3156	0.0	11.038403	13.043894	3.9016917	5.82796	26.513924	21.763357	18.43261	0.0	0.6532022	25.867882	0.0	7.638312	2.1109283	1.7530186	1.4101756	10.473494	0.0	27.156427	1.997481	22.108006	27.858126	25.284384	26.917696	25.340351	24.144222	23.55327	25.62791	26.175194	22.340155	0.0	11.666401	5.583759	7.9759274	9.0589075	8.604446	13.737705	6.6815987	16.3458	9.017058	1.5546061	0.8148811	1.9773113
24.23416	26.937256	27.735611	24.171364	16.25453	15.770111	1.4855129	22.616838	12.886838	9.113676	5.094912	21.95224	22.961454	23.238249	22.610699	0.0	23.219728	16.201368	2.323069	18.41644	14.017787	19.645098	6.6747017	5.164718	7.5881486	0.0	21.120602	5.4904995	13.101932	19.470375	16.148783	0.0	10.936584	13.093899	3.9130437	5.9689016	26.850412	21.717455	18.493776	0.0	0.65651774	25.85423	0.0	7.6405764	1.9000356	1.750064	1.4202701	10.500284	0.0	27.215578	1.7990872	22.132504	27.711882	25.080175	26.8236	25.39732	24.045914	23.089432	25.841766	26.233578	22.397615	0.0	11.702491	5.6152368	7.9536376	9.046612	8.637813	13.799086	6.687988	16.296953	8.937426	1.5286218	0.8198324	1.7300843
24.150524	27.033495	27.741768	24.170044	16.080105	15.79463	1.5104219	22.631063	12.966515	9.107259	5.2961183	22.334202	23.204659	23.233149	22.65468	0.0	23.423378	16.279755	2.3823056	18.620573	14.068873	20.14732	6.682742	5.300882	7.5127425	0.0	20.973654	5.3922257	13.060402	19.620378	16.29908	0.0	10.922248	13.256618	3.9347293	6.046883	26.423965	21.835468	18.449764	0.0	0.65713507	26.031149	0.0	7.579143	1.9361504	1.8766185	1.4039544	10.452045	0.0	27.38569	1.7747017	22.200773	27.94379	25.32404	26.95491	25.543047	24.071243	23.298391	25.60366	26.248007	22.50142	0.0	11.789512	5.618347	7.9864216	9.054399	8.66687	13.853475	6.6938825	16.379572	8.998647	1.5185134	0.83176434	1.7509387
24.319075	27.052675	27.851555	23.98066	16.233065	15.891874	1.5116497	22.779875	12.872024	9.156626	5.259788	22.176174	23.234928	23.238443	22.736536	0.0	23.486195	16.192644	2.3117154	18.951828	14.172673	20.419735	6.7725143	5.2125616	7.6123857	0.0	21.178993	5.389534	13.145612	19.547752	16.264227	0.0	11.052323	13.142499	3.9708052	6.02618	26.703909	21.853125	18.500992	0.0	0.6648627	25.828915	0.0	7.630652	1.8696557	1.8493499	1.4117191	10.425998	0.0	27.105186	1.6810746	22.159334	27.900068	25.287909	26.951431	25.6371	24.003649	23.162107	25.667202	26.234184	22.45736	0.0	11.834972	5.5789633	7.9704213	9.047784	8.676233	13.870532	6.6204705	16.346338	9.148551	1.4895644	0.82411855	1.6193838
24.029732	26.966133	27.732525	24.098885	16.013212	15.917144	1.4929028	22.761875	12.980715	9.119664	5.2511168	22.078434	23.148882	23.260626	22.742842	0.0	23.3337	16.059933	2.1210854	18.875267	14.111824	20.19257	6.7398896	5.185136	7.6360426	0.0	21.141792	5.3198094	13.123682	19.446676	16.279415	0.0	10.942101	13.065708	3.9253538	5.955793	26.781418	21.826622	18.569063	0.0	0.65404636	26.115519	0.0	7.631133	1.943522	1.8650033	1.4059753	10.470579	0.0	27.317299	1.8505378	22.10514	27.938791	25.297321	26.84552	25.55462	24.018188	23.165142	25.834688	26.241808	22.396759	0.0	11.778443	5.614781	7.9866896	9.152571	8.706885	14.057416	6.5926023	16.088667	8.994898	1.5249633	0.8210504	1.6252217
24.028574	27.230022	27.68266	24.352833	16.115265	15.735152	1.4755281	22.831926	13.074339	9.072782	5.1894207	22.140247	23.172562	23.368608	22.72756	0.0	23.40513	16.154335	2.2574856	18.806599	14.004957	19.683203	6.6609406	5.1647882	7.5793033	0.0	21.052696	5.4450355	13.27646	19.508972	16.263409	0.0	11.062938	13.192326	3.950577	6.1473184	26.745712	21.804514	18.622042	0.0	0.65560025	26.058758	0.0	7.5618877	2.0158467	1.9234995	1.418819	10.497103	0.0	27.42679	1.9458469	22.216564	27.896086	25.336239	26.926788	25.587196	24.19305	23.10879	25.775171	26.2657	22.5179	0.0	11.802335	5.6651554	7.994359	9.173976	8.726037	13.846055	6.701596	16.449312	9.023842	1.5268868	0.83071333	1.8321395
24.100836	26.957747	27.8137	24.132809	15.92608	15.727574	1.4731221	22.588522	12.96112	9.129912	5.338642	22.144445	23.280636	23.31017	22.707985	0.0	23.431234	16.206718	2.207864	18.695042	14.12842	20.030312	6.690759	5.1779246	7.6004267	0.0	21.088182	5.345311	13.141644	19.54684	16.183464	0.0	10.83145	13.119237	3.9156632	6.032799	26.443079	21.796156	18.557497	0.0	0.65177196	26.083082	0.0	7.6420856	1.9713709	1.7210796	1.40161	10.492386	0.0	27.122332	1.97117	22.155205	27.963902	25.169355	26.788511	25.451628	24.151226	23.135015	25.634579	26.355413	22.480473	0.0	11.709809	5.6097393	8.068525	9.087665	8.7212515	13.757907	6.7748966	16.272701	8.909043	1.5221522	0.829682	1.7516882
24.041655	27.112373	27.86053	24.486176	15.977781	15.812475	1.5131602	22.909801	13.00401	9.125838	5.563608	22.147003	23.14412	23.38506	22.758762	0.0	23.43802	16.151337	2.2120197	18.621471	14.124391	19.933212	6.727034	5.180021	7.6285486	0.0	21.05128	5.4230065	13.153237	19.459936	16.271364	0.0	10.876661	13.059477	3.8863416	6.1289315	26.87323	21.788803	18.527845	0.0	0.649876	26.296085	0.0	7.6529384	2.0539207	1.8693221	1.4048777	10.508917	0.0	27.275312	1.9274825	22.135408	27.77228	25.19968	26.882036	25.53237	24.138962	23.197727	25.732712	26.226738	22.454155	0.0	11.829262	5.576998	7.9783263	9.075816	8.610578	13.983806	6.680316	16.145742	9.159867	1.5812525	0.8196965	1.5830171
24.16869	27.075531	27.864464	24.414618	16.245802	15.849404	1.5229818	22.835627	12.948711	9.154503	5.5604897	22.111332	23.335535	23.44355	22.710848	0.0	23.52708	16.091908	2.1852868	18.768082	13.904771	20.244486	6.7308745	5.17236	7.617069	0.0	21.126678	5.400757	13.061082	19.592915	16.097675	0.0	11.05929	13.074494	3.953115	6.0348735	26.919064	21.721983	18.454851	0.0	0.65856224	25.870544	0.0	7.600238	2.0517857	1.7891529	1.4317306	10.483067	0.0	27.312433	1.8404232	22.101757	27.84006	25.307714	26.947838	25.58126	24.14434	23.264101	25.832964	26.223577	22.44255	0.0	11.801292	5.5611014	8.007628	9.037799	8.6165285	13.852376	6.645878	16.377483	8.971326	1.6212013	0.8310407	1.6821424
24.080467	26.861086	27.944664	24.1649	16.20368	15.66884	1.4888439	22.567244	12.9887495	9.1368065	5.4384418	22.109644	23.151314	23.290348	22.712824	0.0	23.358755	16.145327	2.0968986	18.761347	14.039525	20.423813	6.7424407	5.195615	7.505406	0.0	21.024263	5.330582	13.0026045	19.509455	16.233839	0.0	10.906266	13.143639	3.9251578	5.979745	26.590414	21.712246	18.472092	0.0	0.6515838	25.82316	0.0	7.603018	1.9230074	1.6712312	1.4164956	10.435009	0.0	26.990583	1.7865958	22.19266	27.822947	25.012926	26.858215	25.371155	24.105438	22.974236	25.529182	26.122183	22.442577	0.0	11.691169	5.628401	7.9398603	9.174872	8.679224	13.879193	6.659421	16.448982	8.883901	1.5865073	0.82455534	1.6556016
24.327658	27.055079	28.075869	24.121502	15.785693	15.773303	1.5001442	22.736109	13.019814	9.151921	5.289431	22.186192	23.346308	23.190594	22.810663	0.0	23.517284	16.237644	2.1694338	18.737793	14.125348	20.616306	6.742879	5.171758	7.558224	0.0	21.126163	5.449585	13.20531	19.652275	16.255445	0.0	11.133316	13.155018	3.9294217	6.029767	26.921284	21.76091	18.617188	0.0	0.65036696	26.128277	0.0	7.620067	1.8608539	1.6884296	1.4457438	10.443311	0.0	27.082888	1.7825011	22.17396	27.886774	25.35257	26.923676	25.44259	24.124674	23.234959	25.861538	26.17226	22.44441	0.0	11.772382	5.599805	7.988404	9.087744	8.721953	13.965751	6.7123656	16.02301	9.107257	1.5599395	0.83067566	1.6357155
